EIF2S1	EIF2AK1_Homo sapiens
RPS6KB2	PKCB iso2_Homo sapiens
TRPV6	PKCB iso2_Homo sapiens
C5AR1	PKCB iso2_Homo sapiens
NCF1	PKCB iso2_Homo sapiens
LMNB1	PKCB iso2_Homo sapiens
SYT6	PKCB iso2_Homo sapiens
RAB11A	PKCB iso2_Homo sapiens
TP73	PKCB iso2_Homo sapiens
CHAT iso3	PKCB iso2_Homo sapiens
FUS	PKCB iso2_Homo sapiens
GHRL	PKCB iso2_Homo sapiens
GSK3A	PKCB iso2_Homo sapiens
SLC4A1	SYK_Homo sapiens
SHC1 iso2	SYK_Homo sapiens
FCGR2C	SYK_Homo sapiens
PLCG1	SYK_Homo sapiens
BLNK	SYK_Homo sapiens
PLCG2	SYK_Homo sapiens
HCLS1	SYK_Homo sapiens
FCGR2A	SYK_Homo sapiens
IKZF1	SYK_Homo sapiens
CFTR	SYK_Homo sapiens
LAT2	SYK_Homo sapiens
ARHGDIB	SYK_Homo sapiens
STAT5A	SYK_Homo sapiens
CBL	SYK_Homo sapiens
SNCA	SYK_Homo sapiens
DUSP3	SYK_Homo sapiens
SYK	SYK_Homo sapiens
BTK	SYK_Homo sapiens
GCSAM	SYK_Homo sapiens
MAPT	SYK_Homo sapiens
RHBG iso6	SYK_Homo sapiens
LCP2	SYK_Homo sapiens
PIP5K1B	SYK_Homo sapiens
SLC12A1	STK39_Homo sapiens
SLC4A4	STK39_Homo sapiens
SLC12A2	STK39_Homo sapiens
SLC12A5	STK39_Homo sapiens
SLC12A7	STK39_Homo sapiens
SLC12A6	STK39_Homo sapiens
SLC12A4	STK39_Homo sapiens
SLC12A3	STK39_Homo sapiens
Ric8a	Prkci_Mus musculus
PELI1	IRAK1_Homo sapiens
IRAK1	IRAK1_Homo sapiens
PELI2	IRAK1_Homo sapiens
STAT3	IRAK1_Homo sapiens
LRRC4C	CDKL5_Homo sapiens
CDKL5	CDKL5_Homo sapiens
SOD2	MAPK11_Homo sapiens
MAPK11	MAPK11_Homo sapiens
EEF2K	MAPK11_Homo sapiens
HSF1	MAPK11_Homo sapiens
RPTOR	MAPK11_Homo sapiens
E2F1	MAPK11_Homo sapiens
EGFR	MAPK11_Homo sapiens
MAPKAPK5	MAPK11_Homo sapiens
CDC25B	MAPK11_Homo sapiens
HNF4A	MAPK11_Homo sapiens
ATF7	MAPK11_Homo sapiens
GYS1	MAPK11_Homo sapiens
PRKCE	MAPK11_Homo sapiens
EWSR1	MAPK11_Homo sapiens
CCND3	MAPK11_Homo sapiens
NR3C1	MAPK11_Homo sapiens
ERBB4	ERBB4_Homo sapiens
ZNF746	PINK1_Homo sapiens
PINK1	PINK1_Homo sapiens
ubiquitin	PINK1_Homo sapiens
RHOT1	PINK1_Homo sapiens
PRKN	PINK1_Homo sapiens
Kdr	Kdr_Mus musculus
Flt4	Kdr_Mus musculus
RAF1	RAF1_Homo sapiens
KLF10	RAF1_Homo sapiens
BAD	RAF1_Homo sapiens
MAP2K1	RAF1_Homo sapiens
EEF1A2	RAF1_Homo sapiens
MYC	RAF1_Homo sapiens
PPP1R12A	RAF1_Homo sapiens
NME1	NME1_Homo sapiens
EIF3F	CDK11B_Homo sapiens
Cry2	Gsk3b_Mus musculus
Ccnd1	Gsk3b_Mus musculus
Cebpb	Gsk3b_Mus musculus
Dpysl3	Gsk3b_Mus musculus
Nfe2l2	Gsk3b_Mus musculus
Neurog2	Gsk3b_Mus musculus
Lpcat1	Gsk3b_Mus musculus
Ctnnb1	Gsk3b_Mus musculus
Pten	Gsk3b_Mus musculus
Vhl	Gsk3b_Mus musculus
Mdm2	Gsk3b_Mus musculus
Dpysl2	Gsk3b_Mus musculus
Map1b	Gsk3b_Mus musculus
Myb	Gsk3b_Mus musculus
Pelp1	Gsk3b_Mus musculus
Rcan1	Gsk3b_Mus musculus
Dzip1	Gsk3b_Mus musculus
Jun	Gsk3b_Mus musculus
Axin1	Gsk3b_Mus musculus
Myc	Gsk3b_Mus musculus
Gphn	Gsk3b_Mus musculus
Il13ra1	Tyk2_Mus musculus
CDC25B	MAPKAPK2_Homo sapiens
HNRNPA0	MAPKAPK2_Homo sapiens
HSPB1	MAPKAPK2_Homo sapiens
LIMK1	MAPKAPK2_Homo sapiens
WNK4	MAPKAPK2_Homo sapiens
CREB1	MAPKAPK2_Homo sapiens
RCSD1	MAPKAPK2_Homo sapiens
MKL1	MAPKAPK2_Homo sapiens
YWHAZ	MAPKAPK2_Homo sapiens
AGO2	MAPKAPK2_Homo sapiens
BAG2	MAPKAPK2_Homo sapiens
MDM2	MAPKAPK2_Homo sapiens
EEF2K	MAPKAPK2_Homo sapiens
TH iso4	MAPKAPK2_Homo sapiens
KRT18	MAPKAPK2_Homo sapiens
MAPKAPK2	MAPKAPK2_Homo sapiens
ZFP36L1	MAPKAPK2_Homo sapiens
Nogo iso2	MAPKAPK2_Homo sapiens
PLK1	MAPKAPK2_Homo sapiens
CEP131	MAPKAPK2_Homo sapiens
AKT1	MAPKAPK2_Homo sapiens
ARPC5	MAPKAPK2_Homo sapiens
TP53	MAPKAPK2_Homo sapiens
TRIM29	MAPKAPK2_Homo sapiens
TH iso3	MAPKAPK2_Homo sapiens
PARN	MAPKAPK2_Homo sapiens
DDX5	MAPKAPK2_Homo sapiens
TH iso2	MAPKAPK2_Homo sapiens
DAZL	MAPKAPK2_Homo sapiens
SRF	MAPKAPK2_Homo sapiens
TRIM28	MAPKAPK2_Homo sapiens
TH	MAPKAPK2_Homo sapiens
LSP1	MAPKAPK2_Homo sapiens
PIAS1	MAPKAPK2_Homo sapiens
ALOX5	MAPKAPK2_Homo sapiens
AATF	MAPKAPK2_Homo sapiens
HSF1	MAPKAPK2_Homo sapiens
BCL2L1	MAPKAPK2_Homo sapiens
PFKFB3	MAPKAPK2_Homo sapiens
TSC2	MAPKAPK2_Homo sapiens
CDC25C	MAPKAPK2_Homo sapiens
BECN1	MAPKAPK2_Homo sapiens
KRT20	MAPKAPK2_Homo sapiens
MARK3 iso3	MARK3 iso3_Homo sapiens
COL4A3BP	CSNK1G2_Homo sapiens
BECN1	CSNK1G2_Homo sapiens
Gab2	Akt2_Mus musculus
Sik2	Akt2_Mus musculus
Ppargc1a	Akt2_Mus musculus
Stxbp4	Akt2_Mus musculus
Myo5a	Akt2_Mus musculus
Pitx2	Akt2_Mus musculus
RDX	PRKCQ_Homo sapiens
BAD	PRKCQ_Homo sapiens
EZR	PRKCQ_Homo sapiens
PRKCQ	PRKCQ_Homo sapiens
IRS1	PRKCQ_Homo sapiens
PTPN7	PRKCQ_Homo sapiens
CCDC88A	PRKCQ_Homo sapiens
RASGRP1	PRKCQ_Homo sapiens
CARD11	PRKCQ_Homo sapiens
NR2F6	PRKCQ_Homo sapiens
HIST1H3J	PRKCQ_Homo sapiens
KRas iso2	PRKCQ_Homo sapiens
FOSL1	PRKCQ_Homo sapiens
MSN	PRKCQ_Homo sapiens
WIPF1	PRKCQ_Homo sapiens
RAPGEF2	PRKCQ_Homo sapiens
CBLB	PRKCQ_Homo sapiens
HABP4	PRKCQ_Homo sapiens
STK39	PRKCQ_Homo sapiens
ICAM3	PRKCQ_Homo sapiens
PPP1R12A	PRKCQ_Homo sapiens
ARHGEF6	PRKCQ_Homo sapiens
RASGRP3	PRKCQ_Homo sapiens
NGFR	PRKACB_Homo sapiens
APC	CSNK1G1_Homo sapiens
LRP6	CSNK1G1_Homo sapiens
RELA	CSNK1G1_Homo sapiens
Lpin1	Csnk1e_Mus musculus
Per1	Csnk1e_Mus musculus
Ppp1r1b	Csnk1e_Mus musculus
Dnmt1	Csnk1e_Mus musculus
Stk11	Stk11_Mus musculus
Prkaa1	Stk11_Mus musculus
Pak1	Stk11_Mus musculus
MAPK7	MAP2K5_Homo sapiens
Yap1	Lats1_Mus musculus
Amot	Lats1_Mus musculus
Wwtr1	Lats1_Mus musculus
CTR9	CHEK1_Homo sapiens
LAMC1	CHEK1_Homo sapiens
DDX19A	CHEK1_Homo sapiens
HNRNPA2B1	CHEK1_Homo sapiens
RPL19	CHEK1_Homo sapiens
YBX1	CHEK1_Homo sapiens
TICRR	CHEK1_Homo sapiens
BAZ1A	CHEK1_Homo sapiens
BLM	CHEK1_Homo sapiens
E2F3	CHEK1_Homo sapiens
CHEK1	CHEK1_Homo sapiens
TRIP12	CHEK1_Homo sapiens
TLK1	CHEK1_Homo sapiens
CLK3	CHEK1_Homo sapiens
EPRS	CHEK1_Homo sapiens
SETMAR	CHEK1_Homo sapiens
PRR5	CHEK1_Homo sapiens
E2F6	CHEK1_Homo sapiens
TP53	CHEK1_Homo sapiens
TP73	CHEK1_Homo sapiens
GTF3C1	CHEK1_Homo sapiens
RBM26	CHEK1_Homo sapiens
YBX3	CHEK1_Homo sapiens
INF2	CHEK1_Homo sapiens
CDC25A	CHEK1_Homo sapiens
MKI67	CHEK1_Homo sapiens
TFDP1	CHEK1_Homo sapiens
ERRFI1	CHEK1_Homo sapiens
FANCD2	CHEK1_Homo sapiens
RALY	CHEK1_Homo sapiens
TP53BP1	CHEK1_Homo sapiens
ZNF638	CHEK1_Homo sapiens
SCAF11	CHEK1_Homo sapiens
SRRM2	CHEK1_Homo sapiens
CHD7	CHEK1_Homo sapiens
GOLGA4	CHEK1_Homo sapiens
ADD3	CHEK1_Homo sapiens
KIFC1	CHEK1_Homo sapiens
SEPT7	CHEK1_Homo sapiens
MATR3	CHEK1_Homo sapiens
MCM5	CHEK1_Homo sapiens
SPEN	CHEK1_Homo sapiens
LATS2	CHEK1_Homo sapiens
RIF1	CHEK1_Homo sapiens
AURKB	CHEK1_Homo sapiens
CWC25	CHEK1_Homo sapiens
RBM14	CHEK1_Homo sapiens
IDI1	CHEK1_Homo sapiens
CAAP1	CHEK1_Homo sapiens
PRRC2C	CHEK1_Homo sapiens
RASSF1 iso2	CHEK1_Homo sapiens
PHF2	CHEK1_Homo sapiens
SNCB	CHEK1_Homo sapiens
HNRNPM	CHEK1_Homo sapiens
MED1	CHEK1_Homo sapiens
CCDC6	CHEK1_Homo sapiens
YBX2	CHEK1_Homo sapiens
WIZ	CHEK1_Homo sapiens
ZC3HC1	CHEK1_Homo sapiens
NUP153	CHEK1_Homo sapiens
SLTM	CHEK1_Homo sapiens
OGT	CHEK1_Homo sapiens
NEK11	CHEK1_Homo sapiens
Tau iso8	CHEK1_Homo sapiens
SSBP1	CHEK1_Homo sapiens
MDC1	CHEK1_Homo sapiens
KPNA2	CHEK1_Homo sapiens
MCM3	CHEK1_Homo sapiens
POP4	CHEK1_Homo sapiens
ADD2	CHEK1_Homo sapiens
RAVER1 iso2	CHEK1_Homo sapiens
ADD1	CHEK1_Homo sapiens
ANKRD12 iso2	CHEK1_Homo sapiens
ZNF395	CHEK1_Homo sapiens
XRCC6	CHEK1_Homo sapiens
MAD2L1	CHEK1_Homo sapiens
STK4	CHEK1_Homo sapiens
MYCBP2	CHEK1_Homo sapiens
BUD13	CHEK1_Homo sapiens
TBC1D4	CHEK1_Homo sapiens
MAP2K2	CHEK1_Homo sapiens
DDX24	CHEK1_Homo sapiens
CTTN	CHEK1_Homo sapiens
RBM42	CHEK1_Homo sapiens
FEN1	CHEK1_Homo sapiens
EBNA1BP2	CHEK1_Homo sapiens
TRIM28	CHEK1_Homo sapiens
RANBP2	CHEK1_Homo sapiens
MYBBP1A	CHEK1_Homo sapiens
SENP2	CHEK1_Homo sapiens
CAMSAP2	CHEK1_Homo sapiens
CHTOP	CHEK1_Homo sapiens
CDC25B	CHEK1_Homo sapiens
PRRC2B	CHEK1_Homo sapiens
LMNA	CHEK1_Homo sapiens
HIST1H3J	CHEK1_Homo sapiens
MDM4	CHEK1_Homo sapiens
ZBTB11	CHEK1_Homo sapiens
PHF8	CHEK1_Homo sapiens
RACGAP1	CHEK1_Homo sapiens
DDX19B	CHEK1_Homo sapiens
TLK2	CHEK1_Homo sapiens
ARHGEF2	CHEK1_Homo sapiens
PPME1	CHEK1_Homo sapiens
H3F3B	CHEK1_Homo sapiens
MAP4	CHEK1_Homo sapiens
ING1 iso2	CHEK1_Homo sapiens
PRPF3	CHEK1_Homo sapiens
HDLBP	CHEK1_Homo sapiens
PROSER2	CHEK1_Homo sapiens
CDK13	CHEK1_Homo sapiens
NHS	CHEK1_Homo sapiens
RRP12	CHEK1_Homo sapiens
CLSPN	CHEK1_Homo sapiens
PPP2R5D	CHEK1_Homo sapiens
DRG2	CHEK1_Homo sapiens
PLRG1	CHEK1_Homo sapiens
HIVEP1	CHEK1_Homo sapiens
NCBP3	CHEK1_Homo sapiens
FANCE	CHEK1_Homo sapiens
FYTTD1	CHEK1_Homo sapiens
CDK1	CHEK1_Homo sapiens
POLDIP3	CHEK1_Homo sapiens
RPL13	CHEK1_Homo sapiens
LIG1	CHEK1_Homo sapiens
CSNK2B	CHEK1_Homo sapiens
SYK	CHEK1_Homo sapiens
KPNA1	CHEK1_Homo sapiens
MINK1	CHEK1_Homo sapiens
CDC25C	CHEK1_Homo sapiens
MAP2K1	CHEK1_Homo sapiens
RB1	CHEK1_Homo sapiens
NFKB1	CHEK1_Homo sapiens
OSBPL11	CHEK1_Homo sapiens
UIMC1	CHEK1_Homo sapiens
SIN3A	CHEK1_Homo sapiens
TNK1	CHEK1_Homo sapiens
EML3	CHEK1_Homo sapiens
CEP170B	CHEK1_Homo sapiens
LMO7	CHEK1_Homo sapiens
GLI1	PRKACA_Homo sapiens
CUX1	PRKACA_Homo sapiens
HIF1A	PRKACA_Homo sapiens
VASP	PRKACA_Homo sapiens
RAP1B	PRKACA_Homo sapiens
CDK16	PRKACA_Homo sapiens
NOS3	PRKACA_Homo sapiens
MAP2	PRKACA_Homo sapiens
RAF1	PRKACA_Homo sapiens
PPP2R5D	PRKACA_Homo sapiens
SEC14L2	PRKACA_Homo sapiens
CIITA	PRKACA_Homo sapiens
FAM160B2	PRKACA_Homo sapiens
HSPA1A	PRKACA_Homo sapiens
MAPKAPK5	PRKACA_Homo sapiens
LRRK2	PRKACA_Homo sapiens
NEDD4L	PRKACA_Homo sapiens
NCOA3	PRKACA_Homo sapiens
RB1	PRKACA_Homo sapiens
CUL5	PRKACA_Homo sapiens
LRP6	PRKACA_Homo sapiens
UBE3A iso2	PRKACA_Homo sapiens
GLI3	PRKACA_Homo sapiens
SHP-2 iso2	PRKACA_Homo sapiens
Kv7.2 iso4	PRKACA_Homo sapiens
PLCG1	PRKACA_Homo sapiens
ASIC1 iso1	PRKACA_Homo sapiens
RELA	PRKACA_Homo sapiens
CASP9	PRKACA_Homo sapiens
KDELR1	PRKACA_Homo sapiens
MYBPC3	PRKACA_Homo sapiens
NOXA1	PRKACA_Homo sapiens
GATA4	PRKACA_Homo sapiens
PPP1R9A	PRKACA_Homo sapiens
CHCHD3	PRKACA_Homo sapiens
ERBB2	PRKACA_Homo sapiens
CYP3A4	PRKACA_Homo sapiens
DACT1	PRKACA_Homo sapiens
ULK2	PRKACA_Homo sapiens
LRP1	PRKACA_Homo sapiens
MARK3	PRKACA_Homo sapiens
KCND2	PRKACA_Homo sapiens
PRKAR2B	PRKACA_Homo sapiens
RHOA	PRKACA_Homo sapiens
CRF-R1 iso2	PRKACA_Homo sapiens
RASGRF1	PRKACA_Homo sapiens
HSPB1	PRKACA_Homo sapiens
BAD	PRKACA_Homo sapiens
FXYD1	PRKACA_Homo sapiens
SLC8B1	PRKACA_Homo sapiens
CCND1	PRKACA_Homo sapiens
DUOX1	PRKACA_Homo sapiens
USP20	PRKACA_Homo sapiens
NFKB1	PRKACA_Homo sapiens
ADRB2	PRKACA_Homo sapiens
STK26	PRKACA_Homo sapiens
KCNH2	PRKACA_Homo sapiens
PDE4A	PRKACA_Homo sapiens
PLN	PRKACA_Homo sapiens
STK38	PRKACA_Homo sapiens
ABCB1	PRKACA_Homo sapiens
HDAC8	PRKACA_Homo sapiens
TNNI3	PRKACA_Homo sapiens
PHOX2A	PRKACA_Homo sapiens
GFAP	PRKACA_Homo sapiens
ETV1	PRKACA_Homo sapiens
DNM1L	PRKACA_Homo sapiens
SRF	PRKACA_Homo sapiens
LIPE	PRKACA_Homo sapiens
BIRC5	PRKACA_Homo sapiens
CREB1	PRKACA_Homo sapiens
POU5F1	PRKACA_Homo sapiens
KCNN2	PRKACA_Homo sapiens
APPL1	PRKACA_Homo sapiens
DES	PRKACA_Homo sapiens
CHKB	PRKACA_Homo sapiens
DTNB	PRKACA_Homo sapiens
RYR2	PRKACA_Homo sapiens
KCNJ5	PRKACA_Homo sapiens
PDE4D iso2	PRKACA_Homo sapiens
CSNK1A1	PRKACA_Homo sapiens
YWHAZ	PRKACA_Homo sapiens
TRPM8	PRKACA_Homo sapiens
TXA2-R iso2	PRKACA_Homo sapiens
BRSK2	PRKACA_Homo sapiens
GSK3B	PRKACA_Homo sapiens
PAH	PRKACA_Homo sapiens
NDE1	PRKACA_Homo sapiens
PDE4D iso7	PRKACA_Homo sapiens
EMD	PRKACA_Homo sapiens
PDE3B	PRKACA_Homo sapiens
CTPS1	PRKACA_Homo sapiens
NFATC1	PRKACA_Homo sapiens
GRK7	PRKACA_Homo sapiens
HRH1	PRKACA_Homo sapiens
RGS18	PRKACA_Homo sapiens
AICDA	PRKACA_Homo sapiens
RET	PRKACA_Homo sapiens
CFTR	PRKACA_Homo sapiens
TFAP2A	PRKACA_Homo sapiens
PDE4B	PRKACA_Homo sapiens
WT1	PRKACA_Homo sapiens
HSPB8	PRKACA_Homo sapiens
GRIA1	PRKACA_Homo sapiens
PDE3A	PRKACA_Homo sapiens
TRPA1	PRKACA_Homo sapiens
RGS13	PRKACA_Homo sapiens
CTNNB1	PRKACA_Homo sapiens
Tau iso8	PRKACA_Homo sapiens
GSTA4	PRKACA_Homo sapiens
PFKFB2	PRKACA_Homo sapiens
Tau iso2	PRKACA_Homo sapiens
RRAD	PRKACA_Homo sapiens
TH iso4	PRKACA_Homo sapiens
RAP1GAP	PRKACA_Homo sapiens
PTPN12	PRKACA_Homo sapiens
DMTN	PRKACA_Homo sapiens
PRKACA	PRKACA_Homo sapiens
PPP1R1A	PRKACA_Homo sapiens
CACNA1H	PRKACA_Homo sapiens
MYOM2	PRKACA_Homo sapiens
PDE10A iso2	PRKACA_Homo sapiens
ABCA1	PRKACA_Homo sapiens
VTN	PRKACA_Homo sapiens
PPP1R1B	PRKACA_Homo sapiens
KCNN4	PRKACA_Homo sapiens
LASP1	PRKACA_Homo sapiens
CAPN2	PRKACA_Homo sapiens
FYN	PRKACA_Homo sapiens
GAD1	PRKACA_Homo sapiens
SRSF1	PRKACA_Homo sapiens
AKAP12	PRKACA_Homo sapiens
PJA2	PRKACA_Homo sapiens
EZR	PRKACA_Homo sapiens
NR5A2	PRKACA_Homo sapiens
PPP1R14A	PRKACA_Homo sapiens
TPPP	PRKACA_Homo sapiens
NCF1	PRKACA_Homo sapiens
UHRF1	PRKACA_Homo sapiens
TFAM	PRKACA_Homo sapiens
ESR1	PRKACA_Homo sapiens
HSF1	PRKACA_Homo sapiens
KLHL3	PRKACA_Homo sapiens
KDM3A	PRKACA_Homo sapiens
TTN	PRKACA_Homo sapiens
VIM	PRKACA_Homo sapiens
GPKOW	PRKACA_Homo sapiens
TRPV4	PRKACA_Homo sapiens
DLX3	PRKACA_Homo sapiens
PDE4D iso6	PRKACA_Homo sapiens
KCNA1	PRKACA_Homo sapiens
STMN1	PRKACA_Homo sapiens
CD44	PRKACA_Homo sapiens
MCOLN1	PRKACA_Homo sapiens
PSMC5	PRKACA_Homo sapiens
RARA	PRKACA_Homo sapiens
RCAN1 iso2	PRKACA_Homo sapiens
AQP2	PRKACA_Homo sapiens
DAP3	PRKACA_Homo sapiens
ZFP36L1	PRKACA_Homo sapiens
ANXA1	PRKACA_Homo sapiens
SERPINF1	PRKACA_Homo sapiens
CAMKK1	PRKACA_Homo sapiens
URI1	PRKACA_Homo sapiens
PDE4C iso2	PRKACA_Homo sapiens
PPM1B	PRKACA_Homo sapiens
MAPT	PRKACA_Homo sapiens
ATXN1	PRKACA_Homo sapiens
CAD	PRKACA_Homo sapiens
POU3F2	PRKACA_Homo sapiens
PSMD11	PRKACA_Homo sapiens
ATPIF1	PRKACA_Homo sapiens
HLA-A	PRKACA_Homo sapiens
TRPV5	PRKACA_Homo sapiens
RAP1A	PRKACA_Homo sapiens
ATP1A1	PRKACA_Homo sapiens
NCOR1	PRKACA_Homo sapiens
PDE11A	PRKACA_Homo sapiens
ARFGEF1	PRKACA_Homo sapiens
FLNA	PRKACA_Homo sapiens
TH iso2	PRKACA_Homo sapiens
NDRG1	PRKACA_Homo sapiens
CEBPB	PRKACA_Homo sapiens
SRC	PRKACA_Homo sapiens
NF2	PRKACA_Homo sapiens
TPR	PRKACA_Homo sapiens
IQGAP2	PRKACA_Homo sapiens
KSR1	PRKACA_Homo sapiens
TAL1	PRKACA_Homo sapiens
LCP1	PRKACA_Homo sapiens
PKD2	PRKACA_Homo sapiens
DNAJC5	PRKACA_Homo sapiens
MSN	PRKACA_Homo sapiens
SOX9	PRKACA_Homo sapiens
ARHGDIA	PRKACA_Homo sapiens
GFPT1	PRKACA_Homo sapiens
CLDN3	PRKACA_Homo sapiens
H3F3B	PRKACA_Homo sapiens
SUN2	PRKACA_Homo sapiens
PPP1R14C	PRKACA_Homo sapiens
TP53	PRKACA_Homo sapiens
CSK	PRKACA_Homo sapiens
LCK	PRKACA_Homo sapiens
STK24	PRKACA_Homo sapiens
TPH2	PRKACA_Homo sapiens
DYNLRB1	PRKACA_Homo sapiens
PTBP1	PRKACA_Homo sapiens
SRSF2	PRKACA_Homo sapiens
GNA13	PRKACA_Homo sapiens
ITGA4	PRKACA_Homo sapiens
SGK1	PRKACA_Homo sapiens
BCAM	PRKACA_Homo sapiens
TH	PRKACA_Homo sapiens
PIK3R1	PRKACA_Homo sapiens
ALOX5	PRKACA_Homo sapiens
AKAP13	PRKACA_Homo sapiens
KCNJ13	PRKACA_Homo sapiens
PREX1	PRKACA_Homo sapiens
ADRB1	PRKACA_Homo sapiens
HIST1H1E	PRKACA_Homo sapiens
CDKN2D	PRKACA_Homo sapiens
NLRP3	PRKACA_Homo sapiens
PIN1	PRKACA_Homo sapiens
FCER1G	PRKACA_Homo sapiens
VDR	PRKACA_Homo sapiens
CYP17A1	PRKACA_Homo sapiens
RASGRP2	PRKACA_Homo sapiens
SLC4A4	PRKACA_Homo sapiens
ARHGAP17	PRKACA_Homo sapiens
PTPN7	PRKACA_Homo sapiens
HNRNPD	PRKACA_Homo sapiens
RGS10	PRKACA_Homo sapiens
DSP	PRKACA_Homo sapiens
TBXA2R	PRKACA_Homo sapiens
GMFB	PRKACA_Homo sapiens
MAP1LC3A	PRKACA_Homo sapiens
ATR	PRKACA_Homo sapiens
TAGLN2	PRKACA_Homo sapiens
HSP90AA1	PRKACA_Homo sapiens
SIK2	PRKACA_Homo sapiens
GFAT iso2	PRKACA_Homo sapiens
TGM2	PRKACA_Homo sapiens
PFKFB3	PRKACA_Homo sapiens
MLXIPL	PRKACA_Homo sapiens
PKD1	PRKACA_Homo sapiens
NDUFS4	PRKACA_Homo sapiens
MYLK	PRKACA_Homo sapiens
ITGB4	PRKACA_Homo sapiens
SNAPIN	PRKACA_Homo sapiens
TRPV1	PRKACA_Homo sapiens
SPTBN1	PRKACA_Homo sapiens
ARHGEF6	PRKACA_Homo sapiens
PLEC	PRKACA_Homo sapiens
SNAI1	PRKACA_Homo sapiens
PLCB3	PRKACA_Homo sapiens
AQP5	PRKACA_Homo sapiens
RPS19	PRKACA_Homo sapiens
PPP1R1C	PRKACA_Homo sapiens
HDAC5	PRKACA_Homo sapiens
AKAP9	PRKACA_Homo sapiens
AURKA	PRKACA_Homo sapiens
POLD3	PRKACA_Homo sapiens
SREBP-1 iso3	PRKACA_Homo sapiens
RASSF1 iso2	PRKACA_Homo sapiens
KCNA4	PRKACA_Homo sapiens
APOBEC3G	PRKACA_Homo sapiens
NPR1	PRKACA_Homo sapiens
HSPB6	PRKACA_Homo sapiens
ESPL1	PRKACA_Homo sapiens
TH iso3	PRKACA_Homo sapiens
RXRA	PRKACA_Homo sapiens
GRK1	PRKACA_Homo sapiens
KCNK9	PRKACA_Homo sapiens
AVPR2	PRKACA_Homo sapiens
KCNJ3	PRKACA_Homo sapiens
GATA3	PRKACA_Homo sapiens
KCNJ2	PRKACA_Homo sapiens
CA9	PRKACA_Homo sapiens
GSK3A	PRKACA_Homo sapiens
DDB1	PRKACA_Homo sapiens
PDE5A	PRKACA_Homo sapiens
CBX3	PRKACA_Homo sapiens
SUFU	PRKACA_Homo sapiens
IMMT	PRKACA_Homo sapiens
AQP4	PRKACA_Homo sapiens
MC4R	PRKACA_Homo sapiens
KCNK3	PRKACA_Homo sapiens
KCNQ1	PRKACA_Homo sapiens
SREBF1	PRKACA_Homo sapiens
ETV5	PRKACA_Homo sapiens
FRAT1	PRKACA_Homo sapiens
Mapk7	Mapk7_Mus musculus
Nfatc4	Mapk7_Mus musculus
WASF2	MAPK3_Homo sapiens
TOP2A	MAPK3_Homo sapiens
MCL1	MAPK3_Homo sapiens
BRAF	MAPK3_Homo sapiens
Tau iso8	MAPK3_Homo sapiens
EIF4EBP1	MAPK3_Homo sapiens
CEBPA	MAPK3_Homo sapiens
DUSP6	MAPK3_Homo sapiens
RRN3	MAPK3_Homo sapiens
TH iso4	MAPK3_Homo sapiens
NUP153	MAPK3_Homo sapiens
RAF1	MAPK3_Homo sapiens
DUSP5	MAPK3_Homo sapiens
ATF2	MAPK3_Homo sapiens
PXN iso2	MAPK3_Homo sapiens
STAT1	MAPK3_Homo sapiens
MAZ	MAPK3_Homo sapiens
MKNK1	MAPK3_Homo sapiens
HSPB8	MAPK3_Homo sapiens
CALD1	MAPK3_Homo sapiens
NCF1	MAPK3_Homo sapiens
BLVRA	MAPK3_Homo sapiens
TH iso2	MAPK3_Homo sapiens
SPHK1	MAPK3_Homo sapiens
BAD	MAPK3_Homo sapiens
GORASP2	MAPK3_Homo sapiens
RXRA	MAPK3_Homo sapiens
ADAM17	MAPK3_Homo sapiens
PALLD	MAPK3_Homo sapiens
HDAC6	MAPK3_Homo sapiens
eIF4G iso8	MAPK3_Homo sapiens
TOB1	MAPK3_Homo sapiens
TSC2	MAPK3_Homo sapiens
BCL2	MAPK3_Homo sapiens
PLCB1	MAPK3_Homo sapiens
RUNX2	MAPK3_Homo sapiens
CAPN2	MAPK3_Homo sapiens
MITF iso9	MAPK3_Homo sapiens
ESR1	MAPK3_Homo sapiens
MKL1	MAPK3_Homo sapiens
MTMR2	MAPK3_Homo sapiens
ETV6	MAPK3_Homo sapiens
ELK1	MAPK3_Homo sapiens
LYL1	MAPK3_Homo sapiens
SP1	MAPK3_Homo sapiens
CASP9	MAPK3_Homo sapiens
LAT iso2	MAPK3_Homo sapiens
NCOA1	MAPK3_Homo sapiens
CIC	MAPK3_Homo sapiens
RHOA	MAPK3_Homo sapiens
CREBBP	MAPK3_Homo sapiens
ARRB2	MAPK3_Homo sapiens
AML1 iso8	MAPK3_Homo sapiens
POU5F1	MAPK3_Homo sapiens
CDCA5	MAPK3_Homo sapiens
RPS3	MAPK3_Homo sapiens
XBP1	MAPK3_Homo sapiens
ABI1	MAPK3_Homo sapiens
NUP214	MAPK3_Homo sapiens
TWIST1	MAPK3_Homo sapiens
ARHGEF2 iso2	MAPK3_Homo sapiens
SMAD2	MAPK3_Homo sapiens
ITGB4	MAPK3_Homo sapiens
BAG3	MAPK3_Homo sapiens
RAB5A	MAPK3_Homo sapiens
MED1	MAPK3_Homo sapiens
ARHGEF2	MAPK3_Homo sapiens
RPS6KA5	MAPK3_Homo sapiens
PML iso4	MAPK3_Homo sapiens
SPHK2	MAPK3_Homo sapiens
CREM	MAPK3_Homo sapiens
