PTK2_Homo sapiens	ACTN1	11369769,16291744
CDK1_Homo sapiens	LMNA	7925482,16565220,18669648,19413330,19415658,17924679,19664995,18212344,19651622,19691289,16964243,18767875,20068231,7925482,2344612,16565220,18669648,19413330,19415658,18691976,17287340,17924679,18491316,19007248,19664995,18212344,19651622,19691289,19664994,16964243,18707149,18452278,18767875,20166139,20068231,20058876,7925482,2344612,18669648,19415658,18691976,17924679,18077418,18491316,19007248,19664995,18212344,19651622,19691289,19664994,16964243,18767875,20166139,20068231
PRKCA_Homo sapiens	LMNA	7925482,16565220,18669648,19413330,19415658,17924679,19664995,18212344,19651622,19691289,16964243,18767875,20068231,7925482,19562805,18691976,17924679,19651622,20166139,20068231,7925482,18691976,17924679,19664995,19651622,18707149,20166139,20068231,8477740,7925482
CDK1_Homo sapiens	LMNB1	8034666,16565220,18669648,19413330,19415658,18691976,17287340,19007248,19664995,19651622,19691289,19664994,16964243,18767875,20068231,20058876
PRKCB_Homo sapiens	LMNB1	8034666,20068231,8034666
HIPK2_Homo sapiens	RUNX1	169175071,16917507
HCK_Homo sapiens	BCR	9178913,12522270,8955135,9407116,16497976
FES_Homo sapiens	BCR	9178913,12522270,8955135,9407116,16497976,8955135,16497976,8955135
MAPK1_Homo sapiens	BCL2	10567572,12039864,15225643
PRKCA_Homo sapiens	BCL2	9738012
MAPK8_Homo sapiens	BCL2	10567572,10567572,12039864,10567572,12039864,15225643
CSNK2A1_Homo sapiens	STMN1	8376365,8002936,18669648,19413330,19415658,17287340,17924679,19664995,19651622,19664994,18767875,17693683,18452278,16964243,18212344,20068231,8376365,8002936,18669648,17287340,17924679,19651622,18767875,18212344,20068231
CDK1_Homo sapiens	STMN1	8376365,11135364,8325880,18669648,19413330,19415658,17287340,17924679,18491316,19664995,19651622,19664994,18767875,17693683,18707149,18452278,16964243,18212344,20230923,20068231,20058876,8376365,16427064,18669648,19413330,19415658,17287340,17924679,18491316,19664995,19651622,19664994,18767875,17693683,18452278,16964243,18212344,18578522,20230923,20068231,20058876,8376365,8125092,16427064,18669648,19413330,19415658,17287340,17924679,18491316,19664995,19651622,19664994,18767875,17693683,18452278,16964243,18212344,18578522,20230923,20068231,20058876,8376365,11135364,8325880,8125092,18669648,19413330,19415658,17287340,17924679,18491316,19664995,19651622,19664994,18767875,17693683,18707149,18452278,16964243,18212344,20230923,20068231,20058876
PRKACA_Homo sapiens	STMN1	8376365,8002936,18669648,19413330,19415658,17287340,17924679,19664995,19651622,19664994,18767875,17693683,18452278,16964243,18212344,20068231,8376365,8002936,18669648,17287340,17924679,19651622,18767875,18212344,20068231
MAPK3_Homo sapiens	STMN1	8376365,11135364,8325880,18669648,19413330,19415658,17287340,17924679,18491316,19664995,19651622,19664994,18767875,17693683,18707149,18452278,16964243,18212344,20230923,20068231,20058876,8376365,11135364,8325880,8125092,18669648,19413330,19415658,17287340,17924679,18491316,19664995,19651622,19664994,18767875,17693683,18707149,18452278,16964243,18212344,20230923,20068231,20058876
MAPK1_Homo sapiens	LIFR	7777512
CSNK2A1_Homo sapiens	PTPRC	10066810
CSNK2A2_Homo sapiens	PTPRC	10066810
SRC_Homo sapiens	ANXA1	2457390
TRPM7_Homo sapiens	ANXA1	15485879,20068231
PRKCI_Homo sapiens	ANXA1	2457390
PRKCA_Homo sapiens	ANXA2	2946940,18669648,18578522,20166139,20068231
PRKCB_Homo sapiens	ANXA2	8898866,20068231
MAPK1_Homo sapiens	LIPE	11581251
PRKACA_Homo sapiens	LIPE	9417067,9417067,14641008
MAPK3_Homo sapiens	LIPE	11581251
MAPKAPK2_Homo sapiens	ALOX5	10779545,11844797
PRKACA_Homo sapiens	KCNH2	11953308,10837251,19651622,11953308
NLK_Homo sapiens	LEF1	12556497
CSNK2A1_Homo sapiens	CD5	9834084
FYN_Homo sapiens	CD5	11298344,15144186,11298344
LCK_Homo sapiens	CD5	11298344,15144186,11298344
PRKCA_Homo sapiens	CD5	11123317
PRKCB_Homo sapiens	CD5	11123317
PRKCG_Homo sapiens	CD5	11123317
CSK_Homo sapiens	LCK	12485116,15144186,16497976,19901323,18691976
FCGR3A_Homo sapiens	LCK	8945479,8258691,8405050,15144186,18578522
LCK_Homo sapiens	LCK	8945479,8258691,8405050,15144186,18578522
MAPK1_Homo sapiens	LCK	8506364,8618896
PRKCA_Homo sapiens	LCK	8506364
SYK_Homo sapiens	LCK	8798764,16497976,19664994
PRKACA_Homo sapiens	LCK	8506364
MAPK3_Homo sapiens	LCK	8506364,8618896
PRKACA_Homo sapiens	LCP1	10446213,19651622,20230923,20166139,20058876
MAPKAPK2_Homo sapiens	LSP1	8995217,8995217,19413330,20166139,20058876
CSNK2A1_Homo sapiens	LGALS3	8253806,10961987,8253806
CSNK2A2_Homo sapiens	LGALS3	8253806,10961987,8253806
CSNK1A1_Homo sapiens	LGALS3	8253806,10961987,8253806
AKT1_Homo sapiens	YBX1	16354698,19664994,19651622
PRKACA_Homo sapiens	MIP	2176601
CSNK2A1_Homo sapiens	MAX	11535131,8247525,19413330,19651622,20068231,11535131,11535131,19651622,11535131,18452278,11535131,19651622,18452278,11535131,8247525,9115440,19413330,19651622,20068231,9115440,19413330,19651622,20068231,9115440,18691976,19651622,20068231
MAPK14_Homo sapiens	MAX	7479834,11535131,19651622,18452278
ADRBK1_Homo sapiens	MC4R	12639913
PRKACA_Homo sapiens	MC4R	12639913
NME1_Homo sapiens	NME1	8810265,19651622,8810265,8245015,8810265
NME2_Homo sapiens	NME2	8245015,1851158
GSK3B_Homo sapiens	MITF	10587587
MARK1_Homo sapiens	MAP2	8631898
PRKACA_Homo sapiens	MAP2	11029056
CDK1_Homo sapiens	MAP4	9398320,11683421,20068231,9398320,11683421,19415658,19664995,19691289,20068231
MARK1_Homo sapiens	MAP4	8631898,18669648,19415658,19651622,17693683,18452278,18707149,18212344,20166139,20068231,8631898,18767875,20166139,20068231,20058876,8631898,18669648,20166139,20068231
CDK5_Homo sapiens	MAPT	9832145,12387894,17078951,1330687,9771888,9565682,7566346,9832145,12387894,12226093,9199504,19413330,19415658,9771888,9565682,11181841,12226093,9199504,19413330,19562805,9546672,11311121,9353289,11181841,9832145,12387894,9546672,12435421,9832145,12387894,11104762,11181841,7566346,9832145,12387894,9771888,9565682,9735171,9353289,7566346,9832145,12387894,9199504,17287340,19651622,20068231,9771888,9565682,7566346,9832145,12387894,17287340,19651622,20068231,12387894,9565682,1181841,7566346,9832145,12387894,11181841,9771888,9565682,11181841,7566346,9832145,12387894,19413330,19415658,19651622,9771888,9565682,11181841,12226093,9199504,17078951,19413330,19562805,9771888,9565682,9735171,9353289,7566346,9832145,12387894,9199504,17078951,17287340,19651622,20068231,9565682,1181841,7566346,9832145,12387894,17078951,9771888,9565682,7566346,12387894,1330687,9832145,12226093,9199504,19413330,19415658,9771888,9565682,11181841,12226093,9199504,9546672,12435421,9832145,12387894,19413330,19562805,9565682,1181841,7566346,9832145,12387894,9771888,9565682,7566346,12387894,17078951,19413330,9832145,7566346,11181841,9771888,9199504,18510355,9614189
PHKG1_Homo sapiens	MAPT	8999860,19651622,20068231,9771888,9735171,10090741,9832145,12387894,7706316,8999860
MAPK1_Homo sapiens	MAPT	9832145,10737616,9832145,7566346,11181841,9771888,9199504,18510355,1330687,9771888,9565682,7566346,9832145,12387894,12226093,9199504,19413330,19415658,9771888,9565682,7566346,12387894,1330687,9832145,12226093,9199504,19413330,19415658
GSK3B_Homo sapiens	MAPT	9832145,7566346,11181841,9771888,9199504,17078951,9771888,9565682,9735171,9353289,7566346,9832145,12387894,9199504,17078951,17287340,19651622,20068231,9832145,12387897,18510355,9832145,7566346,11181841,9771888,9199504,18510355,9771888,12387894,12387894,18510355,9771888,11181841,12387894,9771888,7566346,9832145,12387894,9771888,9565682,7566346,12387894,19413330,1330687,9771888,9565682,7566346,9832145,12387894,12226093,9199504,19413330,19415658,9771888,9565682,11181841,12226093,9199504,19413330,19562805,11311121,19562805,9546672,11311121,9353289,11181841,9832145,12387894,11181841,7566346,9832145,12387894,9771888,9565682,9735171,9353289,7566346,9832145,12387894,9199504,17287340,19651622,20068231,9771888,9735171,10090741,9832145,12387894,7706316,8999860,9565682,1181841,7566346,9832145,12387894,7566346,9832145,12387894,19413330,9771888,9565682,11181841,7566346,9832145,12387894,19413330,19415658,19651622,9565682,12387894,9771888,9565682,7566346,12387894,17078951,19413330,9771888,9565682,11181841,12226093,9199504,17078951,19413330,19562805,9565682,1181841,7566346,9832145,12387894,17078951,9771888,9565682,7566346,12387894,1330687,9832145,12226093,9199504,19413330,19415658,9771888,9565682,11181841,12226093,9199504,9546672,12435421,9832145,12387894,19413330,19562805
PRKCD_Homo sapiens	MAPT	9771888,9735171,10090741,9832145,12387894,7706316,8999860,9771888,10737616,9832145,12387894,12435421,7706316
RPS6KA3_Homo sapiens	MAPT	9546672,11311121,9353289,11181841,9832145,12387894
PKN1_Homo sapiens	MAPT	9546672,12435421,9832145,12387894,11104762,11104762,11104762,9199504,9771888,9565682,11181841,12226093,9199504,9546672,12435421,9832145,12387894,19413330,19562805
PRKACA_Homo sapiens	MAPT	9771888,11181841,12387894,9771888,7566346,9832145,12387894,9771888,9565682,7566346,12387894,19413330,9546672,11311121,9353289,11181841,9832145,12387894,9546672,12435421,9832145,12387894,11104762,9771888,9565682,9735171,9353289,7566346,9832145,12387894,9199504,17287340,19651622,20068231,9771888,9735171,10090741,9832145,12387894,7706316,8999860,9771888,10737616,9832145,12387894,12435421,7706316,12435421,9771888,9565682,11181841,12226093,9199504,9546672,12435421,9832145,12387894,19413330,19562805
MAPK12_Homo sapiens	MAPT	9832145,7566346,11181841,9771888,9199504,18510355,1330687,9771888,9565682,7566346,9832145,12387894,12226093,9199504,19413330,19415658,9771888,9565682,11181841,12226093,9199504,19413330,19562805,9771888,9565682,9735171,9353289,7566346,9832145,12387894,9199504,17287340,19651622,20068231,11104762,9199504,9771888,9565682,11181841,12226093,9199504,17078951,19413330,19562805,9771888,9565682,9735171,9353289,7566346,9832145,12387894,9199504,17078951,17287340,19651622,20068231,9771888,9565682,7566346,12387894,1330687,9832145,12226093,9199504,19413330,19415658,9771888,9565682,11181841,12226093,9199504,9546672,12435421,9832145,12387894,19413330,19562805
GSK3A_Homo sapiens	MAPT	7931292,7706316
CAMK2A_Homo sapiens	MAPT	9771888,9735171,10090741,9832145,12387894,7706316,8999860,9771888,10737616,9832145,12387894,12435421,7706316
MARK1_Homo sapiens	MAPT	9771888,9735171,10090741,9832145,12387894,7706316,8999860,7706316,7931292,7706316,9771888,10737616,9832145,12387894,12435421,7706316
CDK1_Homo sapiens	MAPT	9614189
ABL1_Homo sapiens	MAPT	16014719
RPS6KB1_Homo sapiens	MAPT	16364302
CDK1_Homo sapiens	CDC25C	8119945,8119945,18212344,16964243,18691976,8119945,18669648,8119945,18669648,20068231
MAPK14_Homo sapiens	CDC25C	10557092,9278512,11333986,11551930,9543386,20068231
PLK1_Homo sapiens	CDC25C	11897663
MARK3_Homo sapiens	CDC25C	10557092,9278512,11333986,11551930,9543386,20068231
PLK3_Homo sapiens	CDC25C	10557092,9278512,11333986,11551930,9543386,20068231
CHEK1_Homo sapiens	CDC25C	10557092,9278512,11333986,11551930,9543386,20068231
CHEK2_Homo sapiens	CDC25C	10557092,9278512,11333986,11551930,9543386,20068231
BRSK2_Homo sapiens	CDC25C	10557092,9278512,11333986,11551930,9543386,20068231
BRSK1_Homo sapiens	CDC25C	10557092,9278512,11333986,11551930,9543386,20068231
PKN1_Homo sapiens	CDC25C	10557092,9278512,11333986,11551930,9543386,20068231
EGFR_Homo sapiens	MUC1	11483589,11483589,11152665
PRKCD_Homo sapiens	MUC1	11877440
GSK3B_Homo sapiens	MUC1	9819408
ZAP70_Homo sapiens	MUC1	14766232
PRKCA_Homo sapiens	MBP	2413024
PRKACA_Homo sapiens	MBP	2413024
MAPK1_Homo sapiens	MBP	12760422,15380617
FYN_Homo sapiens	MAG	7525550
BCR_Homo sapiens	MLLT4	12808105
SRC_Homo sapiens	CD33	10206955
CDK2_Homo sapiens	MYOD1	9710583
PRKCA_Homo sapiens	MYOD1	1335366
CSNK2A1_Homo sapiens	MYF5	9461343
CSNK2A2_Homo sapiens	MYF5	9461343
CDC42BPA_Homo sapiens	MYL2	9418861
FYN_Homo sapiens	NMT1	11594778
LYN_Homo sapiens	NMT1	11594778
PRKACB_Homo sapiens	NGFR	12682012
PRKCB_Homo sapiens	GAP43	8694767,2140056
CSNK2A1_Homo sapiens	GAP43	1828073
MAPK1_Homo sapiens	NEFH	9592082,18510355,9592082
AKT1_Homo sapiens	NOS3	11696579,10376603,20166139
PRKCA_Homo sapiens	NOS1	10400690,10874031,12630910,1375933
PRKACA_Homo sapiens	NOS1	10400690,10874031,12630910,1375933
CAMK1_Homo sapiens	NOS1	10400690,10874031,12630910,1375933,15251453
CAMK2A_Homo sapiens	NOS1	10400690,10874031,12630910,1375933
CAMK4_Homo sapiens	NOS1	10400690,10874031,12630910,1375933
ADRBK1_Homo sapiens	SNCA	10617630,10852916
CSNK2A1_Homo sapiens	SNCA	10617630,10852916
CSNK2A2_Homo sapiens	SNCA	10617630,10852916
FYN_Homo sapiens	SNCA	12096713,11744621,11162638
FGR_Homo sapiens	SNCA	12096713,11744621,11162638
LYN_Homo sapiens	SNCA	12096713,11744621,11162638
SYK_Homo sapiens	SNCA	12096713,11744621,11162638,11744621
CSNK1D_Homo sapiens	SNCA	10617630,10852916
GRK5_Homo sapiens	SNCA	10617630,10852916
PTK2B_Homo sapiens	SNCA	12096713,11744621,11162638
GRK6_Homo sapiens	SNCA	10852916
PRKCA_Homo sapiens	HMGN2	11438671
RPS6KA3_Homo sapiens	HMGN2	11438671
PRKACA_Homo sapiens	HMGN2	11438671
PRKCA_Homo sapiens	HMGN1	11438671,10739259,20068231,11438671,20068231,11438671,12773393,17924679,20166139
RPS6KA3_Homo sapiens	HMGN1	11438671,10739259,20068231,11438671,20068231,11438671,12773393,17924679,20166139
PRKACA_Homo sapiens	HMGN1	11438671,10739259,20068231,11438671,20068231,11438671,12773393,17924679,20166139
RPS6KA4_Homo sapiens	HMGN1	11438671,12773393,17924679,20166139
RPS6KA5_Homo sapiens	HMGN1	11438671,12773393,17924679,20166139
CSNK2A1_Homo sapiens	NFKBIA	8622692,8622692,10398585,10398585
LCK_Homo sapiens	NFKBIA	8797825,12429743,9792645
EIF2AK2_Homo sapiens	NFKBIA	8601309,9721103,9214631,10723127
SRC_Homo sapiens	NFKBIA	8797825,12429743,9792645
RPS6KA1_Homo sapiens	NFKBIA	8601309,9721103,9214631,10723127
IKBKB_Homo sapiens	NFKBIA	8601309,9721103,9214631,10723127,16319058,8601309,9721103,10783893
TBK1_Homo sapiens	NFKBIA	8601309,9721103,10783893
IKBKE_Homo sapiens	NFKBIA	10421793
IKBKG_Homo sapiens	NFKBIA	16319058
CHUK_Homo sapiens	NFKB1	10469655,10469655,11158290,11976329
PRKACA_Homo sapiens	NFKB1	12947093
IKBKB_Homo sapiens	NFKB1	10469655,11158290,11976329
GSK3B_Homo sapiens	NFKB1	11425860,11425860,18669648
MAP3K14_Homo sapiens	NFKB2	11239468
CSNK2A1_Homo sapiens	RELA	10938077
PRKCZ_Homo sapiens	RELA	12881425
PRKACA_Homo sapiens	RELA	9660950,9150141
CHUK_Homo sapiens	RELA	12842894
CSNK2A1_Homo sapiens	HNRNPC	12564933,18669648,19413330,18691976,17287340,19664995,19651622,17693683,18452278,20166139,20068231,20058876
CSNK2A2_Homo sapiens	HNRNPC	12564933,18669648,19413330,18691976,17287340,19664995,19651622,17693683,18452278,20166139,20068231,20058876
CSNK1A1_Homo sapiens	HNRNPC	15687492,18669648,18691976,17287340,19664995,19651622,18452278,20166139,20068231,20058876
CDK1_Homo sapiens	NPM1	12058066,20068231,11278991,17287340,20068231
CDK2_Homo sapiens	NPM1	11278991,17287340,17924679,18212344,19651622,20068231
PLK1_Homo sapiens	NPM1	15190079,19413330,19651622,20068231
MAPK3_Homo sapiens	ETS1	11948414,12048211
MAPK7_Homo sapiens	ETS1	11948414,12048211
CAMK2A_Homo sapiens	ETS1	12475968
CAMK2B_Homo sapiens	ETS1	12475968
SRC_Homo sapiens	AKT1	11445557
ILK_Homo sapiens	AKT1	9736715
PDK1_Homo sapiens	AKT1	11278835
PDPK1_Homo sapiens	AKT1	9368760,10226025,10226025
CAMKK1_Homo sapiens	AKT1	10833263
RHEBL1_Homo sapiens	AKT1	16098514
PDPK1_Homo sapiens	AKT2	12048203,9374542,9512493,12048203,9374542,9374542,12048203
AKT1_Homo sapiens	BRAF	10869359,11410590,18669648,19651622,18452278,20230923,20068231,20058876,10869359
PRKACA_Homo sapiens	BRAF	11510412
SGK1_Homo sapiens	BRAF	10869359,11410590,18669648,19651622,18452278,20230923,20068231,20058876
RHEB_Homo sapiens	BRAF	16803888,18669648,18691976,19651622,18452278,20166139,20068231
BRAF_Homo sapiens	BRAF	17192257,17192257,20068231,17192257,20230923,20068231,17192257,17924679
JAK2_Homo sapiens	RAF1	9689060,11134016,8876196,10205168,8876196
AKT1_Homo sapiens	RAF1	10576742,11971957,11997508,18669648,18691976,18767875,20230923,20068231
RAF1_Homo sapiens	RAF1	8349614,11971957,9710607,9091312,19007248,19651622,20166139,20068231
MAPK1_Homo sapiens	RAF1	15664191,18691976,15664191,19651622,20068231,15664191,18691976,20068231,15664191,18669648,18767875
PRKCA_Homo sapiens	RAF1	8321321
SRC_Homo sapiens	RAF1	10205168,8876196,17097642,17097642
PAK3_Homo sapiens	RAF1	9234708,10205168,11733498,9823899
PRKACA_Homo sapiens	RAF1	11997508,10576742,11971957,11997508,18669648,18691976,18767875,20230923,20068231,11971957,11997508,18691976,11971957,9710607,9091312,19007248,19651622,20166139,20068231
PAK1_Homo sapiens	RAF1	9234708,10205168,11733498,9823899,12551923
PRKAA1_Homo sapiens	RAF1	11971957,9710607,9091312,19007248,19651622,20166139,20068231
RHEB_Homo sapiens	RAF1	16803888
RET_Homo sapiens	RET	8621380,8621380,14711813,15677445,10445857,8621380,14711813,10445857,14711813,8621380,11121408,15588985,14711813,15677445,14711813
EGFR_Homo sapiens	CRK	12198159,11956190,9642287,8875975,9480911,17016520,20068231
IGF1R_Homo sapiens	CRK	12198159,11956190,9642287,8875975,9480911,17016520,20068231
ABL2_Homo sapiens	CRK	12198159,11956190,9642287,8875975,9480911,17016520,20068231
ABL1_Homo sapiens	CRK	12198159,11956190,9642287,8875975,9480911,17016520,20068231
FER_Homo sapiens	CTTN	9748248,10921917,18669648,19413330,17287340,17389395,18491316,18088087,16497976,17016520,18707149,20068231,9748248,18669648,19413330,17287340,17389395,18491316,18088087,16497976,17016520,18707149,20068231
SRC_Homo sapiens	CTTN	9748248,10921917,18669648,19413330,17287340,17389395,18491316,18088087,16497976,17016520,18707149,20068231,9748248,9748248,18669648,19413330,17287340,17389395,18491316,18088087,16497976,17016520,18707149,20068231
CSF1R_Homo sapiens	CSF1R	1833648
AKT1_Homo sapiens	MDM2	11504915,19664995,11504915,15527798
ABL1_Homo sapiens	MDM2	12110584
ATM_Homo sapiens	MDM2	11331603
MAPK1_Homo sapiens	FOS	7816602,12972619,8248197,18452278,20068231
PRKACA_Homo sapiens	FOS	8248197,1545828,18452278,20068231
RPS6KA1_Homo sapiens	FOS	8248197,1545828,18452278,20068231
CSNK2A1_Homo sapiens	MYCN	1425701
CSNK2A2_Homo sapiens	MYCN	1425701
MET_Homo sapiens	MET	17192257,18669648,18691976,18452278,20068231,17192257,18669648,18691976,18452278,17192257,18691976,20068231
EGFR_Homo sapiens	ERBB2	12354693,1706616,17426253,17389395,11500516,17426253,17389395
ERBB2_Homo sapiens	ERBB2	11500516,1706616,16729043,10372802,1706616,16729043,11500516,1706616,12354693,1706616,17426253,17389395,10372802,1706616,11500516,17426253,17389395
LCK_Homo sapiens	VAV1	10669745
YES1_Homo sapiens	YES1	9794236,18669648,18691976,19651622,18707149
KIT_Homo sapiens	KIT	9799234,10377264
PRKCA_Homo sapiens	KIT	7539802
SRC_Homo sapiens	KIT	12878163
FGR_Homo sapiens	FGR	7515063
CSK_Homo sapiens	FGR	7515063,8612628
FLT1_Homo sapiens	FLT1	11513746
EPHB2_Homo sapiens	RRAS	10570155
LYN_Homo sapiens	LYN	9171348,18691976,18088087,19901323,20068231
MATK_Homo sapiens	LYN	8612628,18669648,18691976,19651622,16497976,18452278,19901323,20068231
CSK_Homo sapiens	LYN	8612628,18669648,18691976,19651622,16497976,18452278,19901323,20068231
ABL1_Homo sapiens	JUN	10637231
PRKDC_Homo sapiens	JUN	1516134,19413330
MAPK8_Homo sapiens	JUN	8137421,8654373,8224842,18669648,19413330,19664995,18212344,18707149,18452278,20068231,20058876,12740383,18669648,19664995,18707149
CSNK2A1_Homo sapiens	JUN	1516134,1516134,19413330
MAPK14_Homo sapiens	JUNB	9889198,8917518,18669648,20068231
MAPK8_Homo sapiens	JUNB	9889198,8917518,18669648,20068231
PRKCA_Homo sapiens	OPRD1	11085981
PRKCE_Homo sapiens	OPRD1	11085981
PRKCD_Homo sapiens	OPRD1	11085981
ADRBK1_Homo sapiens	OPRD1	11040053
EGFR_Homo sapiens	CBL	11994282,11239464,15556646,17389395,16497976,11994282,11239464,9890970,10092522,10799548,11994282,11239464,15556646
FYN_Homo sapiens	CBL	11994282,11239464,9890970,10092522,10799548,15556646
HCK_Homo sapiens	CBL	11994282,11239464,9890970,10092522,10799548
INSR_Homo sapiens	CBL	11997497,10635327
PRKCA_Homo sapiens	CBL	11024037
PRKACA_Homo sapiens	RHOA	12654918
PRKCA_Homo sapiens	SPP1	8663267
PRKG1_Homo sapiens	SPP1	8663267
CSNK2A1_Homo sapiens	SPP1	8663267
CSNK2A2_Homo sapiens	SPP1	8663267
PRKACA_Homo sapiens	CCND1	8058338
GSK3B_Homo sapiens	CCND1	9832503,10910956
CDK2_Homo sapiens	PTHLH	10373465
PRKCA_Homo sapiens	PAM	8530412,18669648,8530412
UHMK1_Homo sapiens	PAM	10574929,19651622
PRKACA_Homo sapiens	PLIN1	11751901
MAPK1_Homo sapiens	PPARA	10187842
MAPK3_Homo sapiens	PPARA	10187842
PRKACA_Homo sapiens	PDC	2394752,11331285
CAMK2A_Homo sapiens	PDC	11331285,2394752,11331285
INSR_Homo sapiens	PIK3R1	8385099,14729945,8385099,16497976,17016520,8385099,17389395,17016520,20068231
LCK_Homo sapiens	PIK3R1	9461588
PRKCA_Homo sapiens	PFKFB2	1322130,18669648
PRKAA2_Homo sapiens	PFKFB2	12853467,18669648,19413330,17924679,19651622,18767875,20068231
PRKACA_Homo sapiens	PFKFB2	12853467,18669648,19413330,17924679,19651622,18767875,20068231
PRKAA1_Homo sapiens	PFKFB2	12853467,18669648,19413330,17924679,19651622,18767875,20068231
AKT1_Homo sapiens	PFKFB2	12853467,18669648,19413330,17924679,19651622,18767875,20068231,12853467,18669648,19651622,20068231
CSNK2A1_Homo sapiens	GPI	11004567,15637053
PRKACA_Homo sapiens	PLN	3759968,9468536
LYN_Homo sapiens	PLCG1	8657103,1689310,7682059,15144186,17389395,16497976,17016520,20068231,8885868,8657103,1689310,7682059,17389395,16497976,17016520,20068231
SRC_Homo sapiens	PLCG1	8885868,8657103,1689310,7682059,17389395,16497976,17016520,20068231
SYK_Homo sapiens	PLCG1	8657103,1689310,7682059,15144186,17389395,16497976,17016520,20068231,8885868,8657103,1689310,7682059,17389395,16497976,17016520,20068231
PRKD1_Homo sapiens	PLCG1	8885868,19651622,20068231
EGFR_Homo sapiens	PLCG1	12601080,1689310,19901323,8657103,1689310,7682059,15144186,17389395,16497976,17016520,20068231,8885868,8657103,1689310,7682059,17389395,16497976,17016520,20068231
HCK_Homo sapiens	PLCG1	8885868,7682059,15144186,17389395,17016520,18707149,20068231,8657103,1689310,7682059,15144186,17389395,16497976,17016520,20068231,8885868,8657103,1689310,7682059,17389395,16497976,17016520,20068231
RET_Homo sapiens	PLCG1	8885868,8657103,1689310,7682059,17389395,16497976,17016520,20068231
PHKG1_Homo sapiens	PHKG1	7935360
SRC_Homo sapiens	JUP	14517306
FER_Homo sapiens	JUP	14517306
FYN_Homo sapiens	JUP	14517306
PDGFRB_Homo sapiens	PDGFRB	8195171,12062403,8617789,7935391,10391677,8940081,10821867
SRC_Homo sapiens	ITGB3	11723131,18088087
PDK1_Homo sapiens	ITGB3	10896934,18578522
PDPK1_Homo sapiens	ITGB3	10896934,18578522
AKT1_Homo sapiens	ITGB3	10896934,18578522
PDGFRA_Homo sapiens	PDGFRA	7535778,7523122,9546424,10837138,7535778
CSNK1E_Homo sapiens	APC	11487578,15327768
PRKACA_Homo sapiens	APC	11050185
GSK3B_Homo sapiens	APC	15327768
PRKCA_Homo sapiens	KCNE1	1553557
CSNK2A1_Homo sapiens	PSMA3	8619999,19415658,19651622,18767875,20068231
EIF2AK2_Homo sapiens	EIF2AK2	9528799,8887659,9528799,8887659,20068231,11337501,16373505
JAK1_Homo sapiens	EIF2AK2	17290288
MAP2K1_Homo sapiens	MAP2K1	8226933
MAPK1_Homo sapiens	MAP2K1	8157000,12594221
ARAF_Homo sapiens	MAP2K1	8157000,8621729,8394352,7731720
PAK1_Homo sapiens	MAP2K1	9351825
CDK5_Homo sapiens	MAP2K1	11684694,18691976
BRAF_Homo sapiens	MAP2K1	8157000,8621729,8394352,7731720
RAF1_Homo sapiens	MAP2K1	8157000,8621729,8394352,7731720,8157000,8621729,8394352,7731720,10409742,11684694,18691976,8157000,8157000,18691976
PDGFRB_Homo sapiens	PTPN11	8041791
PRKCA_Homo sapiens	PTPN11	11781100
PRKCB_Homo sapiens	PTPN11	11781100
PRKCH_Homo sapiens	PTPN11	11781100
LYN_Homo sapiens	PTPN6	12468540,8114715,8692915,10488096,10574931
ABL1_Homo sapiens	PTPN6	7512963,16497976,12468540,8114715,8692915,10488096,10574931
LCK_Homo sapiens	PTPN6	8114715,7512963,16497976,8114715,16497976
INSR_Homo sapiens	PTPN6	7512963,16497976,8114715,16497976
PRKCA_Homo sapiens	PTPN6	15269224
PRKCD_Homo sapiens	PTPRA	11676480,11923305,19651622,11676480,11923305
SRC_Homo sapiens	PTPRA	11923305,7518772,17389395,16497976,17016520,18578522,20068231
CLK2_Homo sapiens	PTPN1	10480872,11579209,18691976
CLK1_Homo sapiens	PTPN1	10480872,11579209,18691976
CSNK2A1_Homo sapiens	PTPN1	9600099,18691976,20068231,9600099,8491187,9600099
CSNK2A2_Homo sapiens	PTPN1	9600099,18691976,20068231,9600099,8491187,9600099
CDK1_Homo sapiens	PTPN1	8491187,9600099
EGFR_Homo sapiens	PTPN1	11506178,9355745,11106648
INSR_Homo sapiens	PTPN1	11506178,11106648,11506178,9355745
AKT1_Homo sapiens	PTPN1	11579209,18691976
MAPK1_Homo sapiens	PTPN7	10206983,18088087,10206983
MAPK14_Homo sapiens	PTPN7	10206983,18088087,10206983
PRKACA_Homo sapiens	PTPN7	10559944,20166139
MAPK3_Homo sapiens	PTPN7	10206983,18088087,10206983
PRKAR2A_Homo sapiens	PRKAR2A	6293815,18669648,19664995,18452278,20230923,20166139,20068231
PRKAR2B_Homo sapiens	PRKAR2B	7479855,19664995,19651622,20166139
JAK1_Homo sapiens	TYK2	8702790,19901323
FER_Homo sapiens	FER	10998246,18691976,19901323,17192257,18691976,17389395,17192257,18691976,20068231
EPHA8_Homo sapiens	EPHA8	10498895
EPHA2_Homo sapiens	EPHA2	17192257,18669648,19415658,18691976,19651622,18578522,20058876,17192257,18669648,18691976,18578522,17192257,18669648,18691976,19651622,18578522,17192257,18669648,19415658,18691976,19651622,18578522,20068231,20058876,17192257,18669648,18691976
ZAP70_Homo sapiens	ZAP70	7961936,7961936,15144186,19901323,10037717
SHC1_Homo sapiens	ZAP70	7961936
